id,artist,title,year,medium,dimensions,object_id,file_name
2994,"Mulvany, John","Untitled, from the "Cambodian Boat People"" series"",1982,"Gelatin silver print","paper: 10 in x 8 in",1991:52,1991_52.jpg
2995,"Natali, Enrico","Untitled, from the "Subway"" series"",1960,"Gelatin silver print","paper: 5 1/2 in x 5 1/2 in",1991:87,1991_87.JPG
2996,"Natali, Enrico","Untitled, from the "Subway"" series"",1960,"Gelatin silver print","paper: 5 1/2 in x 5 1/2 in",1991:88,1991_88.JPG
2997,"Avison, David","James Spring, New Mexico",1986,"Gelatin silver print","image: 4 1/8 in x 13 in; mat: 16 in x 20 in; paper: 5 3/8 in x 14 in",1992:12,1992_12.JPG
2998,"Temkin, Brad","Chimayo, New Mexico, From "Brad Temkin: A Portfolio"""","1992, portfolio 1992","Gelatin silver print","paper: 8 in x 10 in",1993:50.5,1993_50_5.JPG
2999,"Siskind, Aaron","Pleasures and Terrors of Levitation #127",1961,"Gelatin silver print","frame: 18 1/4 in x 17 1/4 in; image: 13 3/4 in x 10 1/2 in; mat: 18 in x 17 in; paper: 14 in x 12 in",1992:51.5,1992_51_5.jpg
3000,"Siskind, Aaron","Pleasures and Terrors of Levitation #55",1956,"Gelatin silver print","frame: 18 1/4 in x 17 1/4 in; image: 13 3/4 in x 10 1/2 in; mat: 18 in x 17 in; paper: 14 in x 12 in",1992:51.10,1992_51_10.jpg
3001,"Younker, Richard","Untitled, from Changing Chicago",n.d.,"Gelatin silver print","paper: 11 in x 14 in",1995:463,1995_463.JPG
3002,"Younker, Richard","Untitled, from Changing Chicago",n.d.,"Gelatin silver print","paper: 14 in x 11 in",1995:464,1995_464.JPG
3003,"Meatyard, Ralph Eugene","Untitled (Boy with Flag), from "Portfolio Three: the Work of Ralph Eugene Meatyard"""","1959; printed 1974","Gelatin silver print","paper: 6 3/4 in x 6 15/16 in",1980:89.2,1980_89_2.JPG
3004,"Gittleman, L.","Schesigner and Mayer Department Store",n.d.,"Gelatin silver print","image: 7 1/2 in x 9 7/16 in; paper: 8 in x 10 in",1983:93,1983_93copy.jpg
3005,"PoKempner, Marc","Three girls and boy outside 929 N Hudson, Cabrini-Green, from Changing Chicago","July 8, 1988","Gelatin silver print","paper: 11 in x 14 in",1995:372,1995_372.jpg
3006,"PoKempner, Marc","Picnic on public housing balcony, Cabrini-Green, from Changing Chicago","May 30, 1988","Gelatin silver print","paper: 11 in x 14 in",1995:373,1995_373.jpg
3007,"Temkin, Brad","Port Renfrew, British Columbia, From "Brad Temkin: A Portfolio"""","1989, portfolio 1992","Gelatin silver print","paper: 8 in x 10 in",1993:50.12,1993_50_12.JPG
3008,"Toivanen, Kati; Wells, Andrew","Untitled (Red Tricycle)",1993,"Dye imbibition print","paper: 26 in x 22 in",1993:54,"1993_54 copy.jpg"
3009,"Toivanen, Kati; Wells, Andrew","Untitled (Red Tricycle)",1993,"Dye imbibition print","paper: 26 in x 22 in",1993:54,"1993_54 copy.jpg"
3010,"Temkin, Brad","Saxon Harbor, Wisconsin, From "Brad Temkin: A Portfolio"""","1989, portfolio 1992","Gelatin silver print","paper: 8 in x 10 in",1993:50.1,1993_50_1.JPG
3011,"Witkin, Joel-Peter","Head of Dead Man, Mexico City, from the "Twelve Photographs"," 1993"" book"","1990, book 1993",Photogravure,"mat: 20 in x 24 in",1994:131.a
3012,"Witkin, Joel-Peter","Satiro, Mexico City, from the "Twelve Photographs"," 1993"" book"","1992, book 1993",Photogravure,"mat: 24 in x 20 in",1994:131.b
3013,"Witkin, Joel-Peter","Three Kinds of Women, Mexico City, from the "Twelve Photographs"," 1993"" book"","1992, book 1993",Photogravure,,1994:131.c
3014,"Witkin, Joel-Peter","Un Santo Oscuro, New Mexico, from the "Twelve Photographs"," 1993"" book"","1987, book 1993",Photogravure,,1994:131.d
3015,"Davidson, Bruce","Welsh Miners Portfolio","1965, printed 1981, portfolio 1982","Gelatin silver print","paper: 16 in x 20 in",1989:102.1-10,1989_102_1-10.JPG
3016,"Nixon, Nicholas","The Brown Sisters, Wellesley, Massachusetts",1988,"Gelatin silver print","paper: 8 in x 10 in",1994:73,1994_73.jpg
3017,"Davidson, Bruce","Untitled #6, from "Welsh Miners"" portfolio"","1965, printed 1981, portfolio 1982","Gelatin silver print","paper: 16 in x 20 in",1989:102.6,1989_102_6.JPG
3018,"Davidson, Bruce","Untitled #7, from "Welsh Miners"" portfolio"","1965, printed 1981, portfolio 1982","Gelatin silver print","image: 20 in x 16 in",1989:102.7,1989_102_7.JPG
3019,"Davidson, Bruce","Untitled #8, from "Welsh Miners"" portfolio"","1965, printed 1981, portfolio 1982","Gelatin silver print","paper: 16 in x 20 in",1989:102.8,1989_102_8.JPG
3020,"Nixon, Nicholas","The Brown Sisters, Watertown, Massachusetts",1991,"Gelatin silver print","paper: 8 in x 10 in",1994:76,1994_76.jpg
3021,"Wolin, Jeffrey","Police Days",1987,"Gelatin silver print; Mixed media","paper: 16 in x 20 in",1992:4,1992_4.jpg
3022,"Mulvany, John","Untitled, from the "Cambodian Boat People"" series"",1982,"Gelatin silver print","paper: 10 in x 8 in",1991:48,1991_48.jpg
3023,"Thorne-Thomsen, Ruth","Fish, from the "Expeditions"" series"",1976,"Gelatin silver print","overall: 4 in x 5 in",1994:84,1994_84.JPG
3024,"Natali, Enrico","Untitled, from the "Subway"" series"",1960,"Gelatin silver print","paper: 5 1/2 in x 5 1/2 in",1991:79,1991_79.JPG
3025,"Frank, Robert","Another World (Mabou Harbour, Nova Scotia), from the "Untitled"" portfolio"",1976-1977,Lithograph,"image: 12 1/4 in x 12 1/4 in; paper: 18 1/2 in x 27 1/4 in",1993:4.1,1993_4_1.jpg
3026,"Natali, Enrico","Untitled, from the "Subway"" series"",1960,"Gelatin silver print","paper: 5 1/2 in x 5 1/2 in",1991:81,1991_81.JPG
3027,"Natali, Enrico","Untitled, from the "Subway"" series"",1960,"Gelatin silver print","paper: 5 1/2 in x 5 1/2 in",1991:83,1991_83.JPG
3028,"Natali, Enrico","Untitled, from the "Subway"" series"",1960,"Gelatin silver print","paper: 5 1/2 in x 5 1/2 in",1991:84,1991_84.JPG
3029,"Natali, Enrico","Untitled, from the "Subway"" series"",1960,"Gelatin silver print","paper: 5 1/2 in x 5 1/2 in",1991:85,1991_85.JPG
3030,"Evans, Walker","[New York City, Lincoln Building Construction, Forty-Second Street and Park Avenue]","1929-30, printed posthumously","Gelatin silver print","image/paper: 2 3/4 in x 4 11/16 in",1988:87,1988_87.jpg
3031,"Evans, Walker","(New York Street Corner, High Angle View with Two Men)","1928-29; printed posthumously","Gelatin silver print","image/paper: 2 1/2 in x 1 9/16 in",1988:88,1988_88.jpg
3032,"Evans, Walker","[Glass Roof of Pennsylvania Station, New York City]","1928-1929, printed posthumously","Gelatin silver print","image/paper: 1 5/8 in x 2 1/2 in",1988:89,1988_89.jpg
3033,"Evans, Walker","Untitled (side view of building and wooden fire escape, New York)","1928-1929, printed posthumously","Gelatin silver print","image/paper: 4 5/16 in x 2 1/2 in",1988:90,1988_90.jpg
3034,"Evans, Walker","[New York City Street Corner, High Angle View]","1929; printed posthumously","Gelatin silver print","image/paper: 2 1/2 in x 1 1/2 in",1988:91,1988_91.jpg
3035,"Evans, Walker","Untitled (high contrast metal grate, abstract high angle view)","1928-1929, printed posthumously","Gelatin silver print","image/paper: 1 1/8 in x 1 5/16 in",1988:92,1988_92.jpg
3036,"Evans, Walker","Trailer in Camp (Sarasota)","1941, printed posthumously","Gelatin silver print","image: 7 7/8 in x 9 11/16 in; paper: 8 1/8 in x 10 in",1988:93,1988_93.jpg
3037,"Evans, Walker","[Auto Graveyard, at Tampa]","1941, printed posthumously","Gelatin silver print","image: 7 1/2 in x 9 1/2 in; paper: 7.8125 IN x 9 3/4 in",1988:94,1988_94.jpg
3038,"Evans, Walker","[Inland Landscape]","1941, printed posthumously","Gelatin silver print","image: 7 1/8 in x 9 3/4 in; paper: 8 1/8 in x 10 in",1988:95,1988_95.jpg
3039,"Evans, Walker","Tampa University","1941, printed posthumously","Gelatin silver print","image/paper: 9 1/2 in x 7 3/4 in",1988:96,1988_96.jpg
3040,"Evans, Walker","[Uninhabited Seaside Residence Near Sarasota] or [Ca' d'Zan, The Ringling Residence (Built 1925-26, in Probate c. 1936-46)]","1941, printed posthumously","Gelatin silver print","image/paper: 7 1/2 in x 9 13/16 in",1988:97,1988_97.jpg
3041,"Evans, Walker","Ante-Bellum Plantation House at Tallahassee","1941, printed posthumously","Gelatin silver print","image/paper: 5 7/8 in x 4 9/16 in",1988:98,1988_98.jpg
3042,"Evans, Walker","[Souvenir Shop Display]","1941, printed posthumously","Gelatin silver print","image: 7 11/16 in x 9 7/8 in; paper: 8 in x 10 3/16 in",1988:114,1988_114.jpg
3043,"Noggle, Anne","Ima Jean Reynolds, from the "East Texas Faces"" series"",1983,"Gelatin silver print","overall: 14 in x 17 in",1987:55,1987_55.jpg
3044,"Siskind, Aaron","Pleasures and Terrors of Levitation #99",1961,"Gelatin silver print","frame: 18 1/4 in x 17 1/4 in; image: 13 3/4 in x 10 1/2 in; mat: 18 in x 17 in; paper: 14 in x 12 in",1992:51.12,1992_51_12.jpg
3045,"Siskind, Aaron","Pleasures and Terrors of Levitation #28",1965,"Gelatin silver print","frame: 18 1/4 in x 17 1/4 in; image: 13 3/4 in x 10 1/2 in; mat: 18 in x 17 in; paper: 14 in x 12 in",1992:51.13,1992_51_13.jpg
3046,"Morgan, Barbara","Pearl Primus: Speak to me of Rivers","1944; printed 1980","Gelatin silver print","paper: 16 in x 20 in",2000:10,2000_10.jpg
3047,"Thall, Bob","Truck Route 912, Indiana Harbor, Indiana, from Changing Chicago",1986,"Gelatin silver print","paper: 16 in x 20 in",1995:9,1995_9.jpg
3048,"Thall, Bob","U.S. Steel Southworks, Chicago, from Changing Chicago",1986,"Gelatin silver print","paper: 16 in x 20 in",1995:10,1995_10.jpg
3049,"Avison, David","Hubbard and Franklin, Chicago",1975,"Gelatin silver print","paper: 12 7/8 in x 33 5/8 in","1980:93 DEACCESSIONED",1980_93.jpg
3050,"Thall, Bob","139th Street Near Kennedy Avenue, East Chicago, Indiana, from Changing Chicago",1986,"Gelatin silver print","mat: 20 in x 24 in; paper: 16 in x 20 in",1995:18,1995_18.jpg
3051,"Thall, Bob","Slag Heaps, Calumet at 135th, Hammond, Indiana, from Changing Chicago",1986,"Gelatin silver print","paper: 16 in x 20 in",1995:15,1995_15.jpg
3052,"Barrow , Thomas","Untitled, from the "Institute of Design Student Independent 6"" portfolio"",1966,"Gelatin silver print","image: 4 1/2 in x 6 3/4 in; paper: 7 11/16 in x 9 1/2 in",1981:182.10,"1981_182_10 copy.jpg"
3053,"Lyon, Danny","Llanito, New Mexico, from the portfolio "Danny Lyon"""","1970 print, portfolio 1979","Gelatin silver print","image: 8 5/8 in x 13 in; paper: 11 in x 14 in",1983:125.20,1983_125_20.JPG
3054,"Morgan, Barbara","Merce Cunningham: Totem Ancestor","1942; printed 1980","Gelatin silver print","image: 17 1/2 in x 11 7/8 in; paper: 20 in x 16 in",1982:32,1982_32.jpg
3055,"McKinney, Rhondal","Untitled #23, from Changing Chicago",1988,"Gelatin silver print","paper: 8 in x 10 in",1995:144,1995_144.jpg
3056,"Dapogny, David","Untitled, from Changing Chicago",1987,"Gelatin silver print","paper: 16 in x 20 in",1995:268,"1995_268 copy.jpg"
3057,"Olderman, Richard","Untitled, from the "Project 2"" portfolio"",n.d.,"Gelatin silver print","paper: 5 1/4 in x 8 in",1985:476.1,1985_476_1.JPG
3058,"Curran, Darryl J.","Untitled #3, from the "Colors"" portfolio"",1975,"Offset lithograph","paper: 20 in x 16 in",1980:91.28,1980_91_28.JPG
3059,"Witkin, Joel-Peter","Studio of the Painter, Paris, from the "Twelve Photographs"," 1993"" book"","1990, book 1993",Photogravure,,1994:131.g
3060,"Witkin, Joel-Peter","Feast of the Fools, Mexico City, from the "Twelve Photographs"," 1993"" book"","1990, book 1993",Photogravure,,1994:131.h
3061,"Witkin, Joel-Peter","Laokoon, New Mexico, from the "Twelve Photographs"," 1993"" book"","1992, book 1993",Photogravure,,1994:131.i
3062,"Curran, Darryl J.","Visual Autobiography, from the "Colors"" portfolio"","c. 1975","Offset lithograph","paper: 16 in x 20 in",1980:91.30,1980_91_30.JPG
3063,"Witkin, Joel-Peter","Vanity, New Mexico, from the "Twelve Photographs"," 1993"" book"","1990, book 1993",Photogravure,"mat: 20 in x 24 in",1994:131.k
3064,"Witkin, Joel-Peter","Man With Dog, Mexico City, from the "Twelve Photographs"," 1993"" book"","1990, book 1993",Photogravure,"mat: 24 in x 20 in",1994:131.l
3065,"Clark, Larry","Untitled (from Tulsa portfolio)",1963,"Gelatin silver print","paper: 11 in x 14 in","EL1981:45 (18)  (withdrawn)",
3066,"Clark, Larry","Untitled (from Tulsa portfolio)",1963,"Gelatin silver print","paper: 14 in x 11 in","EL1981:45 (21)  (withdrawn)",
3067,"Avison, David","Oak Street Beach, Chicago, from Changing Chicago",1988,"Chromogenic development print","image: 7 1/4 in x 23 in; paper: 9 in x 24 in",1995:49,1995_49.jpg
3068,"Newberry, James","Untitled, from Changing Chicago","c. 1987","Chromogenic development print","paper: 14 in x 11 in",1995:572,1995_572.jpg
3069,"Avison, David","North Avenue Beach, Chicago, from Changing Chicago",1988,"Chromogenic development print","image: 7 1/4 in x 23 in; paper: 9 in x 24 in",1995:54,1995_54.jpg
3070,"Natali, Enrico","Untitled, from the "Subway"" series"",1960,"Gelatin silver print","paper: 5 1/2 in x 5 1/2 in",1991:86,1991_86.JPG
3071,"Mann, Sally","Candy Cigarette",1989,"Gelatin silver print","frame: 16 3/4 in x 20 3/4 in x 2 in; image: 7 5/8 in x 9 5/8 in; mat: 16 in x 20 in; paper: 8 in x 10 in",1992:10,1992_10.jpg
3072,"Cowin, Eileen","Untitled #148",1988,"Silver dye bleach print","frame: 41 1/2 in x 31 1/2 in; paper: 40 in x 30 in",1994:57.2,1994_57b.jpg
3073,"Natali, Enrico","Untitled, from the "Subway"" series"",1960,"Gelatin silver print","paper: 5 1/2 in x 5 1/2 in",1991:89,1991_89.JPG
3074,"Natali, Enrico","Untitled, from the "Subway"" series"",1960,"Gelatin silver print","paper: 5 1/2 in x 5 1/2 in",1991:90,1991_90.JPG
3075,"Witkin, Joel-Peter","Head of Dead Man, Mexico",1990,"Gelatin silver print","paper: 32 3/4 in x 25 1/2 in",1992:7,1992_7.jpg
3076,"Gardner, George W.","St. Patrick's Cathederal, New York City",n.d.,"Gelatin silver print","paper: 11 11/16 in x 11 in",1989:123,1989_123.jpg
3077,"Testa, Ron","North East Penn",1976,"Gelatin silver print","image: 5 11/16 in x 8 3/4 in; paper: 9 3/4 in x 12 3/4 in",1979:4,1979_4.JPG
3078,"Becker, Howard",Untitled,n.d.,"Gelatin silver print","image: 5 1/8 in x 8 13/16 in; mat: 20 in x 16 in; paper: 14 in x 11 in",1979:5,1979_5.jpg
3079,"Jachna, Joseph D.","Chicago, (Curb & Shadow)",1970,"Gelatin silver print","image: 7 in x 10 1/2 in; paper: 11 in x 14 in",1979:6,1979_6.jpg
3080,"Parada, Esther","Untitled, from the "Site Unseen"" series"",1976,"Van Dyke brown print","image/paper: 11 in x 14 in",1979:10,1979_10.jpg
3081,"Parada, Esther","Untitled, from the "Site Unseen"" series"",1976,"Van Dyke brown print","image/paper: 11 in x 14 in",1979:10,1979_10.jpg
3082,"Burson, Nancy","Evolution II",1984,"Gelatin silver print","image: 7 in x 7 1/4 in; mat: 16 in x 20 in; paper: 10 in x 8 in",1990:33,1990_33.jpg
3083,"North, Kenda",Untitled,1976,"Dye imbibition print","image: 12 1/2 in x 8 3/4 in; mat: 20 in x 16 in; paper: 14 in x 11 in",1980:14,1980_14.jpg
3084,"Josephson, Ken","Chicago, from the "History of Photography"" series"",1973,"Gelatin silver print","image: 10 3/4 in x 13 3/4 in; mat: 16 in x 20 in; paper: 11 in x 13 3/4 in",1980:20,1980_20.jpg
3085,"Neimanas, Joyce","The Effective Mean",1976,"Gelatin silver print","paper: 16 in x 20 in",1980:75,1980_75.jpg
3086,"Josephson, Ken",Chicago,"1963, printed 2008","Gelatin silver print","image: 9 1/8 in x 9 in",2008:14,2008_14.jpg
3087,"Noggle, Anne","Myself in Amarillo",1983,"Gelatin silver print","overall: 14 in x 17 in",1987:72,1987_72.JPG
3088,"Noggle, Anne","Catherine Munter, Seattle",1982,"Gelatin silver print","overall: 14 in x 17 in",1987:77,1987_77.jpg
3089,"Noggle, Anne","Myself as a Guggenheim Fellow",1982,"Gelatin silver print","overall: 14 in x 17 in",1987:59,1987_59.JPG
3090,"Noggle, Anne","Agnes and Shelly",1970,"Gelatin silver print","overall: 17 in x 14 in",1987:60,1987_60.jpg
3091,"Barsotti, Frank","Untitled, from "A Year in Chicago's Grant Park"""",1984,"Chromogenic development print","image: 12 5/16 in x 18 in; paper: 16 in x 20 in",1987:81,1987_81.jpg
3092,"Noggle, Anne","Slef-Image in the Grass",1979,"Gelatin silver print","overall: 14 in x 17 in",1987:64,1987_64.jpg
3093,"Kelly, Angela","Slumber Party",1986,"Gelatin silver print","paper: 16 in x 20 in",1987:87,1987_87.jpg
3094,"Noggle, Anne","Bobbi & Webster Augustine, from the "Seattle Faces"" series"",1982,"Gelatin silver print","overall: 14 in x 17 in",1987:66,1987_66.JPG
3095,"Noggle, Anne","Nancy Becker, Seattle",1982,"Gelatin silver print","overall: 14 in x 17 in",1987:67,1987_67.jpg
3096,"Noggle, Anne","Barbara Benson, Seattle",1982,"Gelatin silver print","overall: 14 in x 17 in",1987:68,1987_68.jpg
3097,"Peress, Gilles","Pro-Sharvatmadari, from the "Telex Iran in the Name of the Revolution"" series"",1980,"Gelatin silver print","image: 12 5/16 in x 18 7/8 in; paper: 16 in x 20 in",1987:95,1987_95.jpg
3098,"Mancini, Salvatore","Beggars Dressed as Monkey Gods, Rishikesh, India, from Journey's portfolio","1980, portfolio 1983","Gelatin silver print","paper: 14 in x 11 in",1987:94.6,1987_95_6.jpg
3099,"Noggle, Anne","Santa Fe Summer #2",1976,"Gelatin silver print","overall: 14 in x 17 in",1987:74,1987_74.jpg
3100,"Noggle, Anne","Kayla Skinner, from the "Seattle Faces"" series"",1982,"Gelatin silver print","overall: 14 in x 17 in",1987:75,1987_75.jpg
3101,"Noggle, Anne","Helen Harton with Gigi",1984,"Gelatin silver print","overall: 17 in x 14 in",1987:76,1987_76.jpg
3102,"Harney, Tom","La Jolla, California",1979,"Gelatin silver print","paper: 8 7/8 in x 13 1/2 in",1988:4,1988_4.jpg
3103,"Meiselas, Susan","Fleeing the Bomb to Seek Refuge Outside of Esteli, from the "Nicaragua"," 1981"" book"",1978,"Silver dye bleach print","image: 13 1/2 in x 20 in; paper: 16 in x 22 in",1987:97
3104,"Noggle, Anne","Leah Hartman, Seattle",1982,"Gelatin silver print","overall: 17 in x 14 in",1987:79,1987_79.jpg
3105,"Batchelder, Brett","Untitled, from the Columbia College 1987 Graduate portfolio",1987,"Chromogenic development print","image: 9 1/4 in x 12 1/8 in; mat: 16 in x 20 in; paper: 11 in x 14 in",1987:104,1987_104.jpg
3106,"Noggle, Anne","Joanna Eckstein, from the "Seattle People"" series"",1982,"Gelatin silver print","image: 11 1/16 in x 16 1/8 in; paper: 14 in x 17 in",1982:370,1982_370.JPG
3107,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 10 3/4 in x 13 3/4 in",1986:232.15,1986_232_15.JPG
3108,"McKinney, Rhondal","Untitled #24, from Changing Chicago",1988,"Gelatin silver print","paper: 8 in x 10 in",1995:143,1995_143.jpg
3109,"McKinney, Rhondal","Untitled #9, from Changing Chicago",1988,"Gelatin silver print","mat: 16 in x 20 in; paper: 8 in x 10 in",1995:148,1995_148.jpg
3110,"Crocker, Susan","Untitled, from Changing Chicago",1987,"Gelatin silver print","paper: 16 in x 20 in",1995:231,1995_231.jpg
3111,"Ishimoto, Yasuhiro","Untitled, from "Chicago"," Chicago"""",1958-1961,"Gelatin silver print","image: 10 in x 7 1/8 in; mat: 20 in x 16 in; paper: 14 in x 11 in",1981:104
3112,"Callahan, Harry",Eleanor,1953,"Gelatin silver print","paper: 14 in x 11 in",1986:32,1986_32.jpg
3113,"Arndt, Thomas Frederick","Christmas Day, Julia Sellner's House, Sleepyeye, Minnesota, from the "Farm Families"" project"",1985,"Gelatin silver print","image: 12 1/8 in x 19 in; mat: 22 in x 28 in; paper: 16 in x 20 in",1995:690,1995_690.jpg
3114,"Hales, Peter Bacon","Casino Night Benefit for the Remains Theater Ensemble, Chicago Athletic Club, from Changing Chicago",1987,"Gelatin silver print","paper: 16 in x 20 in",1995:322,1995_322.jpg
3115,"Hales, Peter Bacon","Gala Reopening Benefit, Chicago Historical Society, from Changing Chicago",1988,"Gelatin silver print","paper: 16 in x 20 in",1995:324,1995_324.jpg
3116,"Greene, Myra","Untitled #38, from the "Character Recognition"" series"",2007,Ambrotype,"overall: 3 in x 4 in",2008:9,2008_9.jpg
3117,"Greene, Myra","Untitled #49, from the "Character Recognition"" series"",2007,Ambrotype,"overall: 3 in x 4 in",2008:10,2008_10.jpg
3118,"Callahan, Harry","Eleanor, Chicago",1952,"Gelatin silver print","image: 7 11/16 in x 9 5/8 in; paper: 8 in x 10 in",1984:11,1984_11.jpg
3119,"Kotalik, Bob","#33, IBM Building, 400 North Wabash","August 20, 1970","Gelatin silver print","paper: 7 3/8 in x 9 3/8 in",1988:211,1988_211.jpg
3120,"Tress, Arthur","Untitled #13",1974,"Gelatin silver print","paper: 9 7/8 in x 8 in",1988:219,1988_219.JPG
3121,"Kelly, Angela","Untitled, from Changing Chicago",1987,"Gelatin silver print","paper: 16 in x 20 in",1995:188,1995_188.jpg
3122,"Dapogny, David","Untitled, from Changing Chicago",1987,"Gelatin silver print","paper: 16 in x 20 in",1995:272,"1995_272 copy.jpg"
3123,"Crocker, Susan","Ironworker Acrobat, 900 N. Michigan Avenue, from Changing Chicago",1987,"Gelatin silver print","paper: 16 in x 20 in",1995:278,1995_278.jpg
3124,"Iska, James","Nayziz Collins and his Self Portrait, Hans Christian Anderson Elementary School, from Changing Chicago",1988,"Gelatin silver print","paper: 5 in x 7 1/2 in",1995:221,1995_221.jpg
3125,"Iska, James","Liliana Linares and her Self Portrait, Hans Christian Anderson Elementary School, Chicago, from Changing Chicago",n.d.,"Gelatin silver print","paper: 7 3/8 in x 5 in",1989:52,1989_52.jpg
3126,"Dovydenas, Jonas","A Young Family, Grass Valley, Nevada, from "Faces"" portfolio"","1973, portfolio 1975","Gelatin silver print","image/paper: 6 1/2 in x 6 1/2 in; mat: 18 in x 14 in",1979:24.6,"1979_24_6 copy.jpg"
3127,"Iska, James","Lorenzo Thomas and his Self Portrait, Hans Christian Anderson Elementary School, Chicago, from Changing Chicago",n.d.,"Gelatin silver print","paper: 5 in x 7 1/2 in",1995:218,1995_218.jpg
3128,"Iska, James","Elizabeth Anaya and her Self Portrait, Hans Christian Anderson Elementary School, Chicago, from Changing Chicago",1988,"Gelatin silver print","paper: 5 in x 7 1/2 in",1995:219,1995_219.jpg
3129,"Horwich, Judith","White Pepper and Knife",n.d.,"Chromogenic development print","image: 18 1/2 in x 22 1/8 in; mat: 22 in x 28 in; paper: 20 in x 24 in",1991:13,1991_13.jpg
3130,"Gordin, Misha",Renunciation,1978,"Gelatin silver print","paper: 14 in x 11 in",1991:19,1991_19.jpg
3131,"McKinney, Rhondal","Untitled (LH)",1990,"Gelatin silver print","image: 22 13/16 in x 18 in; paper: 23 7/8 in x 20 in",1991:11,1991_11.jpg
3132,"Uelsmann, Jerry N.",Untitled,1972,"Gelatin silver print","paper: 10 in x 8 in",1991:22,1991_22.jpg
3133,"Shorr, Kenneth","Shanghai Love Triangle",1983,"Acrylic paint; Gelatin silver print","overall: 110 in x 80 in",1993:49,1993_49.jpg
3134,"Uelsmann, Jerry N.",Untitled,n.d.,"Gelatin silver print","paper: 10 in x 8 in",1991:27,1991_27.jpg
3135,"Gordin, Misha",Jealousy,1980,"Gelatin silver print","paper: 14 in x 11 in",1991:20,1991_20.jpg
3136,"Strand, Paul","Boy, Uruapan, from "The Mexican"" portfolio"","1933; printed 1967",Photogravure,"image: 6 5/16 in x 5 7/8 in; paper: 15 7/8 in x 12 3/8 in",1980:90.6,1980_90_6.JPG
3137,"Rosen, A.",Untitled,n.d.,,"paper: 11 in x 13 3/4 in",1988:172,1988_172.jpg
3138,"Cohen, Alan",Wisconsin,1982,"Gelatin silver print","paper: 14 in x 11 in",1986:211,1986_211.jpg
3139,"Allen, Harold","Ceiling Decorations, Plaza Hotel Lobby, Chicago, from the Historic American Buildings Survey","1964, printed 1981","Gelatin silver print","image: 13 7/8 in x 17 1/2 in; mat: 20 in x 24 in; paper: 16 in x 30 in",1981:137,1981_137.jpg
3140,"Avison, David","Speedway, Indiana",1977,"Gelatin silver print","image: 10 1/4 in x 31 7/8 in; mat: 18 in x 35 3/4 in; paper: 12 3/4 in x 33 3/4 in",1983:50,1983_50.jpg
3141,"McWilliams, John","Worthington Glacier",1979,"Gelatin silver print","paper: 16 in x 20 in","1980:83 DEACCESSIONED",1980_83.jpg
3142,"Atterberry, J.P.","Shadow Rock, South Dakota",1983,"Platinum palladium print","image: 7 5/8 in x 9 5/8 in; mat: 16 in x 20 in",1985:470,1985_470.JPG
3143,"Avison, David","Golfer, Bloomfield, Michigan",1974,"Gelatin silver print","image: 10 1/4 in x 33 7/8 in; mat: 15 in x 36 in; paper: 13 in x 33 3/4 in",1983:44,1983_44.jpg
3144,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 10 3/4 in x 13 3/4 in",1986:232.16,1986_232_16.JPG
3145,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 13 3/4 in x 10 3/4 in",1986:232.23,1986_232_23.JPG
3146,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 13 3/4 in x 10 7/8 in",1986:232.60,1986_232_60.JPG
3147,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 13 3/4 in x 10 3/4 in",1986:232.25,1986_232_25.JPG
3148,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 13 3/4 in x 10 3/4 in",1986:232.27,1986_232_27.JPG
3149,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 13 3/4 in x 10 3/4 in",1986:232.66,1986_232_66.JPG
3150,"Crane, Barbara","People of the North Portal",1970-1971,"Gelatin silver print","paper: 10 3/4 in x 13 3/4 in",1986:232.28,1986_232_28.JPG
3151,"Bridges, Marilyn","Farmer's Edge, Badlands, South Dakota D#4",1984,"Gelatin silver print","image: 14 11/16 in x 18 5/8 in; paper: 15 7/8 in x 19 7/8 in",1988:41,1988_41.jpg
3152,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 10 3/4 in x 13 3/4 in",1986:232.29,1986_232_29.JPG
3153,"Crane, Barbara","People of the North Portal",1970-1971,"Gelatin silver print","paper: 10 3/4 in x 13 3/4 in",1986:232.31,1986_232_31.JPG
3154,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 13 3/4 in x 11 3/4 in",1986:232.32,1986_232_32.JPG
3155,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 13 3/4 in x 10 3/4 in",1986:232.33,1986_232_33.JPG
3156,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","image: 9 1/4 in x 7 5/16 in; paper: 13 3/4 in x 10 3/4 in",1986:232.34,1986_232_34.jpg
3157,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 10 3/4 in x 13 3/4 in",1986:232.35,1986_232_35.JPG
